"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","exposure_name","outcome_id"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",21,-0.367700821830368,0.286616396799507,0.214955868136263,"IgD+ CD24+ %B cell","ieu-b-4981"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted mode",21,-0.551249759171271,0.258527664921403,0.0455698660399632,"IgD+ CD24+ %B cell","ieu-b-4981"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Simple mode",21,-0.610313028192992,0.355969860298527,0.101891310572965,"IgD+ CD24+ %B cell","ieu-b-4981"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",28,-0.0174131833997186,0.0292169843762291,0.551178411549801,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted median",28,0.00374736017820157,0.0399502538135193,0.925267507327824,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",28,0.0154090656917332,0.0384440418555893,0.691828976252755,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted mode",28,0.0128188780857725,0.0337352441031246,0.706929462335911,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Simple mode",28,0.0475080157113832,0.0635890669666665,0.461454438404146,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",28,-0.105199251326205,0.0637349807748801,0.0988257544843933,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted median",28,-0.148489138199045,0.096691598044556,0.124612352989748,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",28,-0.127294204334852,0.084915361095584,0.145900164604799,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted mode",28,-0.149255367358901,0.09277250034895,0.119285036977018,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Simple mode",28,-0.098037647721462,0.181355119249485,0.59322643476856,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",26,0.052374501185397,0.0383697997676207,0.172255306730617,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted median",26,0.0319968946036654,0.054502255088786,0.557153544036235,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",26,0.0417963025393653,0.060650632275466,0.497349046765246,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted mode",26,0.0387431642121654,0.0508595098869458,0.453325222878831,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Simple mode",26,0.0559887313508624,0.0918159090025717,0.547501736639044,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",26,0.105076167746159,0.0878849634452652,0.231848669078429,"SSC-A on plasmacytoid DC","ieu-b-4981"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted median",26,0.0205577384977222,0.124859122559751,0.869221466278276,"SSC-A on plasmacytoid DC","ieu-b-4981"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",26,-0.036541112237774,0.136517932947411,0.791243884223653,"SSC-A on plasmacytoid DC","ieu-b-4981"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted mode",26,-0.0158494720072324,0.122971060646651,0.898477729473956,"SSC-A on plasmacytoid DC","ieu-b-4981"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Simple mode",26,0.00710438791352153,0.220537506853592,0.97455723148494,"SSC-A on plasmacytoid DC","ieu-b-4981"
